"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0050678","regulation of epithelial cell proliferation","31/768","416/18860",0.0745192307692308,1.82999048477564,3.52686529713681,0.000933692306075147,0.0225869083489737,0.0192615709795984,"SOX11/DSC1/TP63/CDKN2A/UHRF1/EGFR/IQGAP3/AREG/IGF1/ALDH1A2/FGF10/LIMS2/PAX6/SEMA5A/PGR/ATOH8/CXCL12/C5AR1/OSR2/OVOL1/TGM1/CAV1/MCC/STAT1/CDH13/MMRN2/KRT4/ACVRL1/NKX2-5/ERBB4/YAP1",31
"GO:0007043","cell-cell junction assembly","16/768","162/18860",0.0987654320987654,2.42541152263374,3.75402227705286,0.00096492831525133,0.0232258245480995,0.0198064233130536,"DSG3/HOPX/LSR/CLDN7/DLG5/CDH2/TBX5/CAV1/DSG1/EPHA2/ANK2/ECT2/CLDN11/FER/CDH13/ACVRL1",16
"GO:0045216","cell-cell junction organization","20/768","226/18860",0.0884955752212389,2.1732116519174,3.65573067014184,0.00097213535335152,0.0232828835374837,0.019855081843786,"DSC1/DSG3/SVEP1/LIMS2/HOPX/LSR/CLDN7/DLG5/CDH2/TBX5/CAV1/DSG1/EPHA2/ANK2/ECT2/CLDN11/FER/CDH13/ACVRL1/CSK",20
"GO:0060419","heart growth","12/768","103/18860",0.116504854368932,2.86104368932039,3.90202585301965,0.000977652171805945,0.0232990968072961,0.019868908129459,"CCNB1/IGF1/ADRA1A/MEIS1/PRKG1/AKAP6/TBX5/COL14A1/ACACB/NKX2-5/ERBB4/YAP1",12
"GO:0032467","positive regulation of cytokinesis","8/768","51/18860",0.156862745098039,3.85212418300654,4.20210902931285,0.000982862769432716,0.0233078885322615,0.0198764055005838,"BIRC5/CDCA8/CDC6/SVIL/AURKB/KIF14/ECT2/INCENP",8
"GO:2000045","regulation of G1/S transition of mitotic cell cycle","17/768","178/18860",0.0955056179775281,2.3453593164794,3.71563682588062,0.000990164926163734,0.0233659507576089,0.0199259195667625,"FHL1/E2F1/RRM2/CDKN2A/EGFR/FGF10/STIL/CDC6/INHBA/KANK2/KIF14/EZH2/KLF4/PTPN6/CCNE1/FAM107A/MUC1",17
"GO:0000076","DNA replication checkpoint signaling","5/768","20/18860",0.25,6.13932291666667,4.73780416839529,0.00102849007691303,0.0241519572207771,0.0205962069317628,"CLSPN/CDC6/TICRR/TIMELESS/CDT1",5
"GO:1903034","regulation of response to wounding","17/768","179/18860",0.0949720670391061,2.33225675046555,3.68986974447544,0.0010536978524512,0.0245485877538794,0.0209344438895611,"WNT4/SPP1/IL33/MMRN1/MYLK/PDGFRA/PRKG1/CAV1/TFPI/KLF4/DUOX1/PTPN6/SERPINB2/PLAT/SIGLEC10/PLAU/PROS1",17
"GO:0000910","cytokinesis","18/768","195/18860",0.0923076923076923,2.26682692307692,3.66367755510065,0.0010583976735638,0.0245485877538794,0.0209344438895611,"BIRC5/PLK1/IQGAP3/CDCA8/CDC6/SVIL/AURKB/AURKA/KIF14/SNX33/ECT2/SPART/INCENP/CENPA/STMN1/PRC1/ESPL1/KIF4A",18
"GO:0060828","regulation of canonical Wnt signaling pathway","23/768","278/18860",0.0827338129496403,2.03171837529976,3.57054068763232,0.00106067849040443,0.0245485877538794,0.0209344438895611,"DAAM2/EGFR/IGFBP6/FGF10/IGFBP4/CTHRC1/SEMA5A/WLS/ADGRA2/DKK2/ASPM/CDH2/CAV1/MCC/SOSTDC1/DKK1/DKK3/BAMBI/SOX4/NKX2-5/GLI3/YAP1/RBMS3",23
"GO:0060411","cardiac septum morphogenesis","10/768","77/18860",0.12987012987013,3.18925865800866,3.96603561622423,0.00110031267528128,0.0253436303211841,0.0216124370263525,"SOX11/SLIT2/SLIT3/CITED2/TBX5/SOX4/PARVA/DNAH11/FGFRL1/NKX2-5",10
