"SYMBOL","log2FoldChange","padj","has_FOXA1","n_miRNAs","top_miRNA","direction"
"SPOCD1",3.46169251299757,1.86854619029155e-05,TRUE,39,"hsa-miR-101-3p","Upregulated"
"IGF1",-2.79202471958389,1.8759547553587e-05,TRUE,163,"hsa-let-7a-5p","Downregulated"
"AREG",-2.50222189304794,1.8759547553587e-05,TRUE,73,"hsa-let-7a-2-3p","Downregulated"
"FBXO41",1.64086261257794,1.8759547553587e-05,TRUE,163,"hsa-let-7a-5p","Upregulated"
"HPSE2",-3.72415405348895,2.04742051468973e-05,TRUE,9,"hsa-miR-1270","Downregulated"
"RFX2",-2.88188159329961,2.31504627185543e-05,TRUE,21,"hsa-let-7a-5p","Downregulated"
"ALDH1A2",-2.92405563977566,2.3455725631155e-05,TRUE,35,"hsa-let-7d-5p","Downregulated"
"JAKMIP1",4.5969641746639,2.42124882751019e-05,TRUE,28,"hsa-let-7g-5p","Upregulated"
"ADGRD1",-2.28861889005015,2.42487280457937e-05,TRUE,66,"hsa-let-7a-5p","Downregulated"
"FIBCD1",4.79914677935803,2.53732306009413e-05,TRUE,73,"hsa-let-7a-5p","Upregulated"
"CDR2L",1.32261890549502,2.81339122547876e-05,TRUE,108,"hsa-let-7a-5p","Upregulated"
"KRT77",-8.04721596337861,2.85590280021439e-05,TRUE,2,"hsa-miR-146a-5p","Downregulated"
"LONRF2",-2.83874316371333,2.85590280021439e-05,TRUE,202,"hsa-let-7a-3p","Downregulated"
"CBX2",2.61922032959188,2.85590280021439e-05,TRUE,182,"hsa-let-7a-5p","Upregulated"
"NKX3-2",7.00160991371662,2.98940788386903e-05,TRUE,38,"hsa-let-7b-5p","Upregulated"
"IGFBP6",-2.83344946606739,3.3224980718494e-05,TRUE,29,"hsa-let-7d-5p","Downregulated"
"LYVE1",-2.80634920636128,3.43984238894826e-05,TRUE,19,"hsa-miR-124-3p","Downregulated"
"CD34",-1.5296269946872,3.63919600248069e-05,TRUE,44,"hsa-let-7a-5p","Downregulated"
"CAB39L",-1.86073222963083,3.75813834850568e-05,TRUE,66,"hsa-let-7g-5p","Downregulated"
"SDS",2.35008489764541,3.88171308045172e-05,TRUE,11,"hsa-let-7a-5p","Upregulated"
"ESR1",-2.58100528319196,4.29591576088552e-05,TRUE,170,"hsa-let-7a-5p","Downregulated"
"FAT3",-2.58258474239447,4.39109812562738e-05,TRUE,306,"hsa-let-7a-5p","Downregulated"
"ADAMTS14",3.08507259968245,4.42718652687536e-05,TRUE,39,"hsa-let-7d-5p","Upregulated"
"TNS1",-2.33673676186434,4.42718652687536e-05,TRUE,177,"hsa-let-7a-5p","Downregulated"
"DPT",-2.56896948592726,5.03260026585657e-05,TRUE,18,"hsa-let-7e-5p","Downregulated"
"SGSM1",-1.95116179458314,5.05164553104715e-05,TRUE,66,"hsa-let-7a-5p","Downregulated"
"ITIH5",-2.77150232831835,5.14519929274064e-05,TRUE,76,"hsa-let-7a-5p","Downregulated"
"ADCY4",-1.39715068450014,5.25199826275161e-05,TRUE,16,"hsa-let-7a-5p","Downregulated"
"MAOB",-2.86769899408719,5.44302163723516e-05,TRUE,105,"hsa-let-7b-3p","Downregulated"
"MEX3A",2.65033296783396,5.44302163723516e-05,TRUE,234,"hsa-let-7a-5p","Upregulated"
"RAI2",-2.22684209692728,5.44302163723516e-05,TRUE,16,"hsa-let-7a-5p","Downregulated"
"MTHFD2",1.80645419680511,5.44302163723516e-05,TRUE,297,"hsa-let-7a-3p","Upregulated"
"LDB3",-2.83833277977569,5.51776959929967e-05,TRUE,64,"hsa-let-7a-5p","Downregulated"
"AHNAK2",-2.69539321245977,5.95246762780811e-05,TRUE,138,"hsa-let-7a-5p","Downregulated"
"FNDC1",2.51022405455964,5.95246762780811e-05,TRUE,31,"hsa-let-7a-5p","Upregulated"
"EPHB6",-2.86463846864538,6.03242971645893e-05,TRUE,65,"hsa-let-7a-5p","Downregulated"
"RAPGEFL1",-3.27135537260082,6.30646939828999e-05,TRUE,74,"hsa-let-7a-5p","Downregulated"
"NBEA",-1.79836302043804,6.58662597174766e-05,TRUE,250,"hsa-let-7a-5p","Downregulated"
"SVEP1",-2.47605738345072,6.73069666374829e-05,TRUE,90,"hsa-let-7a-5p","Downregulated"
"PGAP4",-3.03281643569869,6.87228831995209e-05,TRUE,147,"hsa-let-7a-5p","Downregulated"
"SPINK5",-5.78481043820694,6.92665886859094e-05,TRUE,3,"hsa-miR-197-3p","Downregulated"
"PITX1",2.97958114491011,6.97495264673408e-05,TRUE,100,"hsa-let-7a-5p","Upregulated"
"H3C10",2.54580677841742,7.00212037620505e-05,TRUE,61,"hsa-miR-1-3p","Upregulated"
"JPT1",1.87465987050632,7.01642738438935e-05,TRUE,106,"hsa-let-7b-5p","Upregulated"
"CORO6",-2.02340251798644,7.71963366710806e-05,TRUE,15,"hsa-let-7g-5p","Downregulated"
"LIMS2",-1.61337207847567,7.8291289258321e-05,TRUE,39,"hsa-let-7b-5p","Downregulated"
"CNN1",-3.0997326702398,8.15601152939733e-05,TRUE,24,"hsa-let-7a-5p","Downregulated"
"KLHDC7B",3.39562380881511,8.25562543001627e-05,TRUE,25,"hsa-let-7a-5p","Upregulated"
"NYNRIN",-1.18467075875132,8.67041801459666e-05,TRUE,56,"hsa-let-7a-5p","Downregulated"
"GMPS",1.11982867200669,8.67041801459666e-05,TRUE,225,"hsa-let-7a-5p","Upregulated"
"MAMDC2",-2.9257213224518,8.85083026059901e-05,TRUE,76,"hsa-let-7a-5p","Downregulated"
"EXO1",3.28624146840406,8.91872999227418e-05,TRUE,107,"hsa-let-7a-5p","Upregulated"
"GINS1",2.460509489723,9.43581859287618e-05,TRUE,103,"hsa-let-7a-5p","Upregulated"
"COL11A1",6.75918460515213,9.8107932478454e-05,TRUE,61,"hsa-let-7a-5p","Upregulated"
"PIK3C2G",-2.63447597449284,9.8107932478454e-05,TRUE,15,"hsa-miR-126-5p","Downregulated"
"ZBTB16",-2.34171939626417,9.8107932478454e-05,TRUE,169,"hsa-let-7a-3p","Downregulated"
"STIL",2.05006765146858,9.8107932478454e-05,TRUE,150,"hsa-let-7a-5p","Upregulated"
"EN1",4.3745626034559,0.000107518446689778,TRUE,38,"hsa-let-7a-3p","Upregulated"
"IFFO2",-2.56846010434239,0.000128328784480858,TRUE,166,"hsa-let-7a-3p","Downregulated"
"GSTM5",-3.19289321434841,0.000134569307934621,TRUE,9,"hsa-miR-197-3p","Downregulated"
"PSAPL1",-5.62282646417357,0.000135149726303979,TRUE,22,"hsa-miR-124-5p","Downregulated"
"RUNX1T1",-1.95605098902372,0.000141784276931815,TRUE,232,"hsa-let-7a-5p","Downregulated"
"SLC15A3",1.54211904102373,0.000143870309379147,TRUE,39,"hsa-let-7d-5p","Upregulated"
"PAPPA",-2.33745139172827,0.000161152727604074,TRUE,100,"hsa-let-7a-5p","Downregulated"
"ADRA1A",-3.50860976732027,0.000166024621044367,TRUE,11,"hsa-let-7a-5p","Downregulated"
"KIF2C",2.29617111809691,0.000166024621044367,TRUE,180,"hsa-let-7a-2-3p","Upregulated"
"MEIS1",-1.84479501660366,0.000166024621044367,TRUE,102,"hsa-let-7a-5p","Downregulated"
"THEM5",-3.11151763718785,0.000166909631764993,TRUE,1,"hsa-miR-374a-5p","Downregulated"
"SLIT3",-1.96465900637603,0.000174648982025499,TRUE,84,"hsa-let-7a-5p","Downregulated"
"LTBP4",-2.03792640548035,0.000180798680531647,TRUE,126,"hsa-let-7a-5p","Downregulated"
"MCM10",3.98120683871992,0.000183212263617791,TRUE,104,"hsa-let-7a-3p","Upregulated"
"SLC2A4",-2.91930451837203,0.000183212263617791,TRUE,60,"hsa-let-7d-5p","Downregulated"
"PIK3R1",-1.58739105065687,0.000187300494968205,TRUE,276,"hsa-let-7a-5p","Downregulated"
"SNCG",-1.93238588119371,0.000192959050328187,TRUE,49,"hsa-let-7a-5p","Downregulated"
"IGFBP4",-1.78608124867639,0.000193739588130363,TRUE,192,"hsa-let-7a-5p","Downregulated"
"CENPN",2.6076263753713,0.000194377641980543,TRUE,151,"hsa-let-7a-5p","Upregulated"
"KPNA2",2.30276628431482,0.000194377641980543,TRUE,229,"hsa-let-7a-2-3p","Upregulated"
"STARD9",-1.70948616305789,0.000195545443392986,TRUE,64,"hsa-let-7a-5p","Downregulated"
"IL22RA1",-3.47366560575428,0.000199031871135633,TRUE,15,"hsa-let-7a-5p","Downregulated"
"GALNT16",-2.55409520367092,0.000200725820956351,TRUE,66,"hsa-let-7a-5p","Downregulated"
"DHRS12",-1.47788392046655,0.000200890798439307,TRUE,15,"hsa-miR-103a-3p","Downregulated"
"ACSBG1",-6.38756583913215,0.000213553483586826,TRUE,69,"hsa-miR-103a-3p","Downregulated"
"PLSCR4",-2.00003585590416,0.00021470880664416,TRUE,85,"hsa-let-7a-5p","Downregulated"
"CDCA8",2.72232455605032,0.000220912554963954,TRUE,114,"hsa-let-7a-5p","Upregulated"
"GPR17",-2.02148037615589,0.000223720782916955,TRUE,31,"hsa-let-7a-5p","Downregulated"
"AOX1",-3.00618257132624,0.000225340285116644,TRUE,53,"hsa-let-7a-5p","Downregulated"
"ELOVL3",-5.99574082536978,0.000232484878442635,TRUE,9,"hsa-miR-128-1-5p","Downregulated"
"DTL",2.77118407237854,0.000239171075580072,TRUE,177,"hsa-let-7a-3p","Upregulated"
"MAST4",-1.31366990072981,0.000239171075580072,TRUE,183,"hsa-let-7a-5p","Downregulated"
"DEFB1",-3.79700850163432,0.000244451002942438,TRUE,2,"hsa-miR-146a-5p","Downregulated"
"PTPRZ1",-2.62068685446656,0.000247897220673545,TRUE,246,"hsa-let-7a-5p","Downregulated"
"DGAT2L6",-5.89553236829073,0.000248535481840966,TRUE,17,"hsa-miR-27a-3p","Downregulated"
"FXYD1",-2.20866785618835,0.000255306818642447,TRUE,35,"hsa-miR-1237-5p","Downregulated"
"CTHRC1",2.74570251652873,0.000264608951395162,TRUE,57,"hsa-let-7a-5p","Upregulated"
"CLIC6",-2.39504041666017,0.000264608951395162,TRUE,31,"hsa-miR-1285-3p","Downregulated"
"TPX2",2.73784268917933,0.000277987810638922,TRUE,205,"hsa-let-7a-3p","Upregulated"
"PPL",-1.46167730861456,0.000278530141063979,TRUE,107,"hsa-let-7a-5p","Downregulated"
"SPC24",2.96057455000201,0.000281110541106694,TRUE,80,"hsa-let-7a-5p","Upregulated"
"PPP1R14A",-2.32564018816423,0.000281110541106694,TRUE,31,"hsa-miR-1-3p","Downregulated"
"SPRING1",1.66912961918127,0.000281110541106694,TRUE,188,"hsa-let-7a-5p","Upregulated"
"PTH1R",-1.82466266873592,0.00028419259373719,TRUE,19,"hsa-miR-125b-5p","Downregulated"
"ABCD1",1.36511885566829,0.000284596461871555,TRUE,22,"hsa-let-7b-5p","Upregulated"
"LMNB2",1.45754018092348,0.000290031791339285,TRUE,426,"hsa-let-7a-2-3p","Upregulated"
"ANTXR2",-1.29005659044887,0.000290031791339285,TRUE,152,"hsa-let-7a-5p","Downregulated"
