Geneid	SRR15852399_SRR15852399	SRR15852394_SRR15852394	SRR15852395_SRR15852395	SRR15852400_SRR15852400	SRR15852407_SRR15852407	SRR15852409_SRR15852409	SRR15852426_SRR15852426	SRR15852427_SRR15852427	SRR15852429_SRR15852429	SRR15852432_SRR15852432	SRR15852435_SRR15852435	SRR15852438_SRR15852438
HTR3C2P	2	0	0	1	0	1	8	0	0	1	0	0
HTR3D	0	0	0	1	0	0	0	0	0	0	0	0
HTR3E	0	1	0	2	0	3	9	3	2	6	0	3
HTR3E-AS1	0	0	0	0	0	0	0	3	0	0	0	0
HTR4	0	0	0	0	2	1	0	0	0	0	0	0
HTR5A	0	0	0	0	0	0	0	0	0	0	0	0
HTR5A-AS1	0	0	0	1	0	0	0	0	0	0	0	0
HTR5BP	22	52	3	6	23	27	16	11	15	24	36	34
HTR6	5	1	0	24	3	22	15	7	23	10	16	27
HTR7	12	3	0	4	5	12	10	4	9	7	9	13
HTR7P1	41	48	0	20	18	27	29	33	50	33	43	40
HTRA1	1114	81	0	264	284	1403	1745	406	508	941	327	895
HTRA2	107	49	1	77	61	94	69	47	45	67	75	110
HTRA3	784	348	0	83	285	263	315	264	363	498	245	186
HTRA4	20	7	0	13	14	19	17	3	9	1	6	4
HTT	896	201	1	550	855	758	1163	966	1039	1081	1603	1276
HTT-AS	5	1	0	5	1	1	4	0	0	0	0	1
HULC	0	0	0	0	0	0	2	2	4	3	0	1
HUNK	25	18	0	18	409	74	43	40	52	66	80	37
HUS1	62	36	0	42	56	58	121	44	56	73	70	88
HUS1B	6	9	0	14	15	5	11	0	13	5	23	15
HUWE1	2779	393	8	1754	2002	2234	3286	2847	2594	3362	2968	3623
HVCN1	18	2	1	48	14	13	20	11	3	17	11	28
HYAL1	20	11	0	23	29	27	41	176	224	90	187	73
HYAL2	318	104	0	173	237	242	211	270	234	270	311	387
HYAL3	75	24	0	33	46	23	31	41	19	29	33	19
HYAL4	0	0	0	5	0	2	3	2	0	1	3	3
HYAL6P	0	0	0	0	0	0	0	0	0	0	0	0
HYDIN	11	0	0	44	17	53	91	36	20	47	62	66
HYDIN2	10	3	0	58	16	75	171	20	46	48	85	75
HYI	0	0	0	0	0	0	0	0	0	0	0	0
HYI-AS1	0	0	0	0	0	2	1	0	0	0	0	0
HYKK	12	7	0	14	4	24	26	20	14	18	24	32
HYLS1	8	2	0	6	28	26	23	0	0	10	3	11
HYMAI	9	1	0	14	3	17	33	16	20	13	21	25
HYOU1	655	260	3	765	1366	792	328	405	350	725	518	548
HYPK	2	2	0	2	1	6	14	5	6	1	5	5
IAH1	163	105	2	120	190	154	236	219	236	228	254	311
IAPP	0	1	0	0	0	0	2	0	0	0	0	0
IARS1	375	24	0	309	502	397	409	247	223	431	435	432
IARS2	331	74	0	210	155	147	254	144	110	252	132	211
IARS2P1	0	0	0	0	0	0	0	0	0	0	0	0
IATPR	0	0	0	0	3	0	0	0	0	0	0	0
IBA57	178	119	2	181	165	192	175	203	266	150	320	190
IBA57-DT	0	0	0	0	8	2	2	2	5	0	3	0
IBSP	1	1	0	2	21	0	0	0	0	0	0	1
IBTK	177	13	0	55	70	172	206	135	122	197	138	191
IBTKP1	0	0	0	0	0	0	0	0	0	0	1	0
ICA1	92	52	0	38	44	92	161	53	55	64	81	100
ICA1-AS1	0	0	0	2	2	4	1	0	8	0	1	4
ICA1L	15	2	0	18	21	33	63	25	30	31	26	63
ICAM1	642	67	0	144	225	175	116	132	193	191	186	178
ICAM2	9	5	0	17	13	19	25	11	14	28	20	35
ICAM3	91	29	0	90	93	45	50	57	42	46	72	73
ICAM4	6	1	0	6	1	0	7	0	2	0	0	3
ICAM5	22	0	0	32	9	9	43	19	3	13	48	49
ICE1	184	46	0	123	366	384	355	209	178	300	231	327
ICE2	77	28	0	47	100	112	282	74	78	80	112	110
ICE2P1	0	0	0	0	0	0	0	0	0	0	0	0
ICE2P2	0	0	0	0	0	0	0	0	0	0	1	2
ICMT	265	175	10	104	204	182	195	244	154	368	296	190
ICMT-DT	1	0	0	2	5	0	2	0	0	0	3	0
ICOS	27	1	0	35	41	9	5	7	4	6	10	5
ICOSLG	58	15	0	79	28	19	41	60	99	31	63	26
ID1	64	18	0	132	189	123	111	388	669	254	423	244
ID2	118	14	0	51	86	129	70	94	110	175	96	84
ID2-AS1	3	1	0	0	14	2	3	3	5	1	1	0
ID2B	2	1	0	2	3	6	5	10	9	7	8	12
ID3	218	80	0	189	208	120	122	161	366	287	198	287
ID4	44	16	0	594	56	599	236	186	195	242	259	263
IDE	96	40	2	66	106	87	129	152	130	238	173	112
IDH1	348	39	0	70	113	99	207	176	97	99	244	177
IDH1-AS1	1	3	0	0	0	0	0	1	0	0	0	0
IDH2	1593	714	0	451	644	497	305	475	410	356	631	384
IDH2-DT	1	7	0	7	8	3	0	2	1	0	1	1
IDH3A	61	14	1	49	44	46	58	75	92	68	77	37
IDH3B	129	64	0	141	188	251	212	140	175	194	275	186
IDH3G	162	45	0	145	219	270	144	187	184	184	213	232
IDI1	292	58	0	96	76	66	104	77	60	53	98	82
IDI1P1	0	0	0	1	0	0	0	0	0	0	2	1
IDI1P2	0	0	0	0	0	0	0	0	0	0	0	0
IDI1P3	0	0	0	0	0	0	0	0	0	0	0	0
IDI2	0	0	0	0	4	1	3	1	0	0	2	1
IDI2-AS1	9	1	0	12	6	5	4	5	4	1	3	5
IDNK	37	5	0	38	46	42	67	44	29	38	65	39
IDO1	36	2	0	6	56	5	3	7	0	9	0	2
IDO2	4	0	0	6	5	0	1	5	5	2	3	5
IDS	492	118	1	326	309	512	873	468	624	657	802	780
IDSP1	70	5	0	42	34	50	69	61	84	45	66	83
IDUA	265	292	0	283	341	196	250	280	275	261	530	334
IER2	980	548	3	913	200	625	1125	803	1550	791	997	546
IER3	2	1	0	0	0	2	4	6	0	1	0	0
IER3-AS1	0	0	0	0	0	0	0	0	0	0	0	0
IER3IP1	40	6	0	23	22	50	45	38	47	43	23	43
IER5	153	110	0	77	137	88	185	132	250	147	182	232
IER5L	235	129	0	127	83	107	120	102	88	113	108	81
IER5L-AS1	3	1	0	2	0	2	2	0	2	3	1	2
IFFO1	183	64	0	137	156	124	149	171	170	210	265	297
IFFO2	102	89	1	228	47	276	317	1704	2013	630	1536	500
IFI16	171	11	1	133	224	160	246	124	162	265	77	269
IFI27	14	1	0	6	62	11	1	2	0	5	8	6
IFI27L1	0	0	0	0	0	0	0	0	0	0	0	0
IFI27L2	0	0	0	0	0	0	0	0	0	0	0	0
IFI30	756	133	0	387	569	352	46	67	61	111	104	142
IFI35	97	31	0	117	213	45	83	77	77	74	65	126
IFI44	67	5	0	124	234	60	75	24	23	60	80	118
IFI44L	86	1	0	261	294	85	62	22	41	46	53	146
IFI6	386	221	5	642	923	151	47	43	59	145	135	182
IFIH1	103	16	0	123	163	66	84	44	54	84	64	104
IFIT1	16	0	0	70	50	14	59	9	6	34	25	40
IFIT1B	2	0	0	0	0	1	5	1	0	3	1	5
IFIT1P1	1	0	0	1	2	0	2	2	1	0	0	1
IFIT2	46	2	0	69	65	26	50	26	10	38	16	57
IFIT3	55	9	0	80	102	30	49	18	12	37	15	48
IFIT5	22	1	0	33	42	18	53	30	26	48	29	28
IFIT6P	5	0	0	1	0	0	2	0	0	0	2	3
IFITM1	341	17	0	430	568	174	124	157	135	308	261	423
IFITM10	38	28	0	34	20	37	38	53	120	37	82	41
IFITM2	419	53	0	162	129	134	174	226	247	500	239	439
IFITM3	1057	133	0	639	755	528	494	514	538	1223	779	1462
IFITM3P1	4	1	0	1	3	0	3	2	0	3	2	0
IFITM3P2	19	1	0	25	15	13	4	16	4	31	20	43
IFITM3P3	1	1	0	0	3	5	10	2	11	9	2	10
IFITM3P4	14	0	0	3	10	5	2	4	0	19	7	5
