Geneid	SRR15852399_SRR15852399	SRR15852394_SRR15852394	SRR15852395_SRR15852395	SRR15852400_SRR15852400	SRR15852407_SRR15852407	SRR15852409_SRR15852409	SRR15852426_SRR15852426	SRR15852427_SRR15852427	SRR15852429_SRR15852429	SRR15852432_SRR15852432	SRR15852435_SRR15852435	SRR15852438_SRR15852438
LOC124905216	0	0	0	1	3	1	1	0	4	3	1	0
LOC124905217	3	0	0	0	2	0	2	0	1	2	2	0
LOC124905218	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905219	4	0	0	0	0	0	1	0	0	2	1	1
LOC124905220	0	2	0	0	0	0	2	3	1	1	0	14
LOC124905221	0	1	0	0	12	1	0	0	0	0	0	0
LOC124905222	18	10	0	6	29	120	53	17	17	23	52	86
LOC124905223	103	29	0	22	17	378	37	37	48	81	72	60
LOC124905224	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905225	0	0	0	0	0	1	0	0	0	0	0	0
LOC124905226	40	18	0	27	34	39	16	21	12	13	13	23
LOC124905227	69	53	0	45	67	35	23	46	40	20	59	32
LOC124905228	24	11	0	21	13	15	14	15	11	16	37	17
LOC124905229	0	2	0	0	1	2	2	0	4	4	1	2
LOC124905230	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905231	0	0	0	0	0	1	0	0	0	0	0	0
LOC124905232	1	3	0	4	1	5	11	15	1	10	4	12
LOC124905233	0	0	0	5	7	0	0	0	0	0	0	0
LOC124905234	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905235	0	0	0	0	0	0	0	0	0	0	1	0
LOC124905236	0	0	0	0	0	0	0	0	0	0	2	1
LOC124905237	2	1	0	0	6	16	9	40	30	9	14	13
LOC124905238	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905239	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905240	0	0	0	0	0	0	0	1	0	0	1	2
LOC124905241	0	0	0	0	0	0	0	0	0	0	0	1
LOC124905242	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905243	0	0	0	12	0	2	4	0	0	3	2	2
LOC124905244	0	0	0	4	0	1	1	0	0	2	6	1
LOC124905245	2	0	0	9	2	2	8	0	0	3	11	7
LOC124905246	20	1	0	11	8	23	82	44	62	60	57	88
LOC124905247	9	0	0	0	4	1	2	0	0	3	3	3
LOC124905248	0	0	0	0	0	2	0	0	0	0	0	0
LOC124905249	0	2	0	0	0	0	5	1	0	3	2	4
LOC124905250	0	0	0	0	2	2	0	0	0	0	0	0
LOC124905251	18	12	0	18	19	13	57	61	45	28	44	62
LOC124905252	0	0	0	0	0	1	6	0	0	1	1	2
LOC124905253	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905254	1	2	0	0	0	0	0	0	0	0	0	0
LOC124905255	8	0	0	12	17	4	19	10	2	7	14	11
LOC124905256	27	14	2	18	18	21	44	25	27	46	42	47
LOC124905257	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905258	0	0	0	3	0	0	0	0	0	0	0	0
LOC124905259	0	2	0	6	4	2	4	0	2	5	7	3
LOC124905260	0	4	0	0	0	0	1	3	2	0	3	1
LOC124905261	0	2	0	0	1	0	7	0	4	1	0	0
LOC124905262	0	0	0	0	0	1	0	0	0	0	0	0
LOC124905263	4	7	0	5	12	7	14	5	14	5	8	8
LOC124905264	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905265	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905266	0	0	0	0	0	0	0	0	2	0	0	1
LOC124905267	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905268	0	0	0	0	2	1	1	3	0	0	6	1
LOC124905269	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905270	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905271	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905272	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905273	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905274	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905275	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905276	1	0	0	0	0	0	0	0	0	0	0	0
LOC124905277	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905278	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905279	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905280	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905281	1	0	0	0	2	1	5	3	0	1	2	3
LOC124905282	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905283	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905284	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905285	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905286	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905287	0	0	0	0	0	0	2	1	0	0	0	1
LOC124905288	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905289	0	2	0	0	0	0	1	1	0	0	0	0
LOC124905290	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905291	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905292	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905293	0	0	0	0	0	0	0	0	0	1	0	0
LOC124905294	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905295	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905296	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905297	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905298	0	1	0	0	0	0	0	0	0	0	0	0
LOC124905299	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905300	0	0	0	0	0	0	0	0	0	0	1	0
LOC124905301	0	0	0	0	0	0	0	4	0	5	1	0
LOC124905302	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905303	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905304	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905305	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905306	0	0	0	0	1	0	0	0	0	0	0	0
LOC124905307	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905308	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905309	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905310	22	65	1	0	8	9	34	11	11	36	16	9
LOC124905311	12	4	0	12	11	22	48	29	7	4	20	11
LOC124905312	24	64	0	17	13	57	63	24	24	15	27	29
LOC124905313	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905314	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905315	0	0	2	0	0	0	0	0	0	0	0	0
LOC124905316	6	0	0	2	1	2	13	18	5	25	0	18
LOC124905317	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905318	0	0	0	3	1	0	0	1	0	2	0	0
LOC124905319	0	0	0	1	1	0	0	2	0	1	0	0
LOC124905320	0	0	0	0	1	0	0	0	0	1	1	0
LOC124905321	3	1	0	1	6	0	13	4	1	0	19	5
LOC124905322	0	0	0	0	1	0	0	0	0	0	0	0
LOC124905323	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905324	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905325	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905326	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905327	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905328	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905329	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905330	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905331	1703	9624	142607	28860	3554	2155	544	4995	7407	2247	14757	4198
LOC124905332	3	71	341	49	7	4	11	3	9	0	11	2
LOC124905333	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905334	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905335	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905336	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905337	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905338	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905339	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905340	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905341	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905342	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905343	0	1	0	0	0	0	0	0	0	0	0	0
LOC124905344	1	1	0	0	0	0	1	3	0	1	1	1
LOC124905345	0	0	0	0	2	0	0	0	0	1	0	1
LOC124905346	5	0	0	3	12	5	1	0	0	2	4	5
LOC124905347	0	1	0	0	0	0	0	0	0	0	0	0
LOC124905348	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905349	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905350	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905351	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905352	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905353	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905354	1	0	0	0	0	0	0	0	0	0	3	1
LOC124905355	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905356	0	2	0	0	0	0	0	0	0	0	0	0
LOC124905357	0	0	0	0	0	0	0	0	2	2	0	0
LOC124905358	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905359	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905360	3	1	0	3	3	6	15	11	12	24	17	14
LOC124905361	0	0	0	0	0	0	2	0	0	0	1	1
LOC124905362	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905363	2	0	0	1	0	0	0	0	2	0	1	0
LOC124905364	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905365	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905366	9	26	0	16	7	11	11	6	26	14	29	15
LOC124905367	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905368	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905369	1	19	0	8	4	1	10	11	5	2	8	2
LOC124905370	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905371	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905372	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905373	3	0	0	9	1	2	3	3	1	0	0	1
LOC124905374	3	0	0	0	1	0	0	9	0	1	0	1
LOC124905375	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905376	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905377	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905378	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905379	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905380	1	0	0	0	2	1	1	1	2	0	1	0
LOC124905381	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905382	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905383	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905384	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905385	5	0	0	30	0	6	13	1	3	8	12	11
LOC124905386	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905387	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905388	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905389	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905390	0	0	0	0	0	0	0	0	0	0	0	1
LOC124905391	3	9	0	4	0	3	13	7	24	10	19	7
LOC124905392	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905393	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905394	0	0	0	0	0	0	2	0	0	3	0	0
LOC124905395	0	0	0	0	0	0	0	0	0	0	1	0
LOC124905396	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905397	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905398	1	1	0	6	5	1	13	2	8	6	5	4
LOC124905399	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905400	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905401	0	0	0	0	0	0	6	1	2	1	7	1
LOC124905402	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905403	6	1	0	11	8	19	23	5	15	6	8	9
LOC124905404	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905405	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905406	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905407	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905408	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905409	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905410	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905411	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905412	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905413	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905414	1	0	0	0	0	0	0	0	0	0	0	0
LOC124905415	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905416	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905417	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905418	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905419	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905420	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905421	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905422	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905423	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905424	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905425	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905426	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905427	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905428	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905429	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905430	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905431	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905432	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905433	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905434	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905435	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905436	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905437	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905438	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905439	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905440	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905441	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905442	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905443	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905444	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905445	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905446	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905447	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905448	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905449	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905450	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905451	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905452	6	0	0	4	11	14	9	0	3	5	8	8
LOC124905453	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905454	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905455	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905456	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905457	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905458	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905459	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905460	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905461	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905462	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905463	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905464	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905465	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905466	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905467	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905468	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905469	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905470	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905471	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905472	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905473	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905474	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905475	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905476	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905477	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905478	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905479	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905480	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905481	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905482	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905483	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905484	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905485	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905486	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905487	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905488	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905489	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905490	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905491	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905492	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905493	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905494	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905495	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905496	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905497	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905498	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905499	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905500	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905501	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905502	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905503	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905504	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905505	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905506	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905507	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905508	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905509	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905510	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905511	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905512	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905513	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905514	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905515	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905516	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905517	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905518	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905519	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905520	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905521	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905522	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905523	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905524	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905525	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905526	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905527	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905528	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905529	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905530	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905531	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905532	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905533	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905534	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905535	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905536	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905537	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905538	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905539	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905540	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905541	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905542	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905543	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905544	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905545	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905546	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905547	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905548	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905549	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905550	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905551	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905552	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905553	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905554	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905555	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905556	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905557	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905558	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905559	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905560	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905561	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905562	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905563	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905564	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905565	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905566	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905567	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905568	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905569	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905570	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905571	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905572	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905573	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905574	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905575	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905576	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905577	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905589	0	0	0	0	0	0	0	0	1	0	1	0
LOC124905590	1	6	0	4	4	2	8	0	0	1	5	2
LOC124905591	3	0	0	1	1	0	0	0	0	3	2	2
LOC124905592	0	0	0	0	2	0	2	0	0	0	0	0
LOC124905593	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905594	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905595	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905596	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905597	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905598	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905599	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905600	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905601	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905602	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905603	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905604	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905605	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905606	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905607	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905608	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905609	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905610	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905611	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905612	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905613	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905614	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905615	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905616	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905617	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905618	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905619	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905620	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905621	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905622	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905623	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905624	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905625	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905626	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905627	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905628	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905629	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905630	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905631	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905632	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905633	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905634	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905635	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905636	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905637	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905638	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905639	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905640	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905641	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905642	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905643	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905644	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905645	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905646	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905647	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905648	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905649	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905650	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905651	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905652	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905653	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905654	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905935	3	11	0	23	6	8	25	21	27	13	17	25
LOC124905938	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905948	0	0	0	0	2	2	0	0	0	0	0	2
LOC124905950	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905951	2	0	0	2	0	1	2	0	0	0	0	1
LOC124905953	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905954	0	0	0	0	1	0	0	0	0	0	0	0
LOC124905955	0	0	0	0	0	0	0	0	0	0	0	1
LOC124905956	0	0	4	60	0	120	4	0	0	2	5	1
LOC124905958	1	0	0	0	0	2	4	0	0	2	4	2
LOC124905959	1	0	0	0	0	0	0	1	0	0	0	0
LOC124905960	9	2	0	4	3	14	11	9	10	9	17	9
LOC124905962	0	0	0	1	0	0	5	0	0	0	3	2
LOC124905965	0	0	0	0	0	0	0	0	0	0	0	0
LOC124905966	4	0	0	0	8	0	4	1	0	0	1	2
LOC124905967	0	0	0	0	0	0	1	0	0	1	0	0
LOC124905968	0	0	0	0	0	0	1	0	0	0	0	0
